Feature,Importance
return_90,1463.1914777755737
return_180,1065.6139180660248
trix,1055.9276518821716
return_365,981.4755113124847
natr,954.3883273601532
return_55,887.3451097011566
sma_200,853.5397102832794
return_20,779.5631959438324
di_minus_14,758.9126408100128
adx_14,720.3358736038208
di_plus_14,675.8144793510437
stddev,622.0952973365784
ultosc,607.5047981739044
macd_histogram,588.1252264976501
rsi_14_lag10,546.3561487197876
rsi_14_lag5,520.2916989326477
macd_line_lag10,516.0460710525513
mfi_14,509.9110324382782
atr_14_lag10,491.15399169921875
macd_line_lag5,463.79721093177795
macd_signal,461.09321904182434
cci_20,430.3069703578949
rsi_14,414.65133905410767
stochastic_d,404.7041218280792
volume_lag10,378.8920488357544
roc,369.03199100494385
williams_r,363.06095147132874
bollinger_lower,348.90770053863525
atr_14_lag1,342.01992654800415
volume_change,340.6923191547394
atr_14,329.58645820617676
volume_lag5,324.26332902908325
stochastic_k,319.7525486946106
macd_line,299.56052827835083
close,299.31161856651306
atr_14_lag2,299.2912538051605
ema_50,279.92860984802246
macd_line_lag2,277.9467432498932
high_low_range,275.2343900203705
atr_14_lag5,242.36575937271118
price_change,225.9944086074829
macd_line_lag1,218.65217065811157
sma_50,201.16475820541382
rsi_14_lag3,200.20007944107056
rsi_14_lag2,188.2417712211609
volume_lag2,186.26752996444702
close_open_range,183.43100023269653
rsi_14_lag1,181.67793941497803
volume,179.3367109298706
atr_14_lag3,179.29464888572693
low_lag1,154.2731409072876
bollinger_upper,149.68308115005493
volume_lag1,135.81404042243958
macd_line_lag3,133.65517950057983
low_lag10,133.58775901794434
low,129.2937994003296
sma_20_lag10,120.34981036186218
volume_lag3,118.08262085914612
open_lag5,116.9723687171936
ema_20,114.84815955162048
open_lag3,112.99383878707886
high_lag10,110.08394956588745
bop,109.68382978439331
sma_20,106.01021242141724
close_lag5,94.05539035797119
open_lag10,90.86850905418396
high_lag5,84.00309991836548
high,80.80958986282349
close_lag10,70.35974979400635
low_lag3,67.2396788597107
var,66.00127959251404
open_lag2,57.77840995788574
sma_20_lag3,54.979570388793945
low_lag2,54.509231090545654
open,49.67947864532471
high_lag1,49.309470653533936
open_lag1,47.7300500869751
high_lag2,47.372060775756836
sma_20_lag1,44.51970958709717
close_lag1,41.30708956718445
high_lag3,38.916770458221436
sma_20_lag5,34.340149879455566
close_lag3,32.77447032928467
sma_20_lag2,30.55128049850464
close_lag2,29.349989414215088
prev_volume,26.05230951309204
low_lag5,24.907340049743652
bollinger_middle,0.0
prev_close,0.0
