feature,importance
di_minus_14,13.175587180444333
natr_trend,9.920331605071459
natr,8.800224407053884
return_180,8.22925426962929
return_ratio_90_180,7.732025444489844
return_ratio_90_365,6.754593698309431
trix,6.500203028858622
return_55,5.8373644077638405
di_minus_change,5.2356483225633355
return_90_risk_adj,5.00125694081218
sma_return_ratio,4.688266492907964
sma_200,4.516638742895701
macd_histogram,4.3720126753712725
return_365,4.333659633640197
return_90,1.9196072894775131
cci_20,1.8701609428584725
trix_direction,0.48887718950547326
trend_strength,0.3804496620308845
macd_hist_direction,0.24383806631629368
return_90_direction,0.0
